"digit","file","duration_seconds","leading_silence_seconds","integrated_lufs","true_peak_dbfs","sha256"
0,"0.wav",0.9,0.0999792,-20.7,-7.82,"da4673a01fc523e4e045856cb7ae65f13be64315bc88778d8e0a219bb580a7df"
1,"1.wav",0.9,0.0998958,-20.72,-7.66,"69087ec009ec33a75997df8b2b497c66e6f225c812f821fee9c9867cc7e817e2"
2,"2.wav",0.9,0.0999375,-20.7,-8.7,"52bdde5454210699db8bf2f3961bc373493b00b351696a9a82af63cc93a55ab6"
3,"3.wav",0.9,0.0999375,-20.68,-6.15,"264fba66f76f10a3cf8c9401b689007777ffa06be7e6c95f1c3c6dac84812ff5"
4,"4.wav",0.9,0.0999792,-20.73,-6.23,"363373ca42a1e1e8154d267305c5adcd8469c4e650d34d9a4efcfe873214f5a7"
5,"5.wav",0.9,0.0999375,-20.72,-5.24,"8e84b6be09a0d81e446f46f7cdbc7f5c0c4fb8424ae6723d81cc9f2f9c265751"
6,"6.wav",0.9,0.0999792,-20.7,-5.38,"d1e6ce302395e97a1c562e166f5ef8b71d90f502144143431dd06adae10c072c"
7,"7.wav",0.9,0.0999375,-20.69,-7.33,"a4a5515d0e030d1bb71a2c576cf87cc8c4af5fc512f206ca31ba5b8c2ad57dca"
8,"8.wav",0.9,0.0999792,-20.72,-3.07,"9569bda45bb1fe166b5290eeeb625eac13dcf659bd63a4f28b8c58d83379e95a"
9,"9.wav",0.9,0.100292,-20.71,-8.78,"16fd8fff128d8109a2c047076e6ef57a27681a94e64a147a7b61d26597865917"
